"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display.Value","Numeric","Low","High","Comments"
"MDG_0000000007","PUBLISHED",2006,"EMR","AFG","MLE",108.1,108.0676,NA,NA,NA
"MDG_0000000007","PUBLISHED",2005,"EMR","AFG","MLE",112.4,112.37031,NA,NA,NA
"MDG_0000000007","PUBLISHED",2000,"EMR","AFG","FMLE",125,125.00837,NA,NA,NA
"MDG_0000000007","PUBLISHED",1999,"EMR","AFG","FMLE",128.9,128.91268,NA,NA,NA
"MDG_0000000007","PUBLISHED",1994,"EMR","AFG","BTSX",155.8,155.75791,NA,NA,NA
"MDG_0000000007","PUBLISHED",1993,"EMR","AFG","BTSX",161.1,161.10345,NA,NA,NA
"MDG_0000000007","PUBLISHED",1988,"EMR","AFG","BTSX",191.6,191.61467,NA,NA,NA
"MDG_0000000007","PUBLISHED",1988,"EMR","AFG","MLE",195.9,195.94773,NA,NA,NA
"MDG_0000000007","PUBLISHED",1977,"EMR","AFG","FMLE",256.7,256.73561,NA,NA,NA
"MDG_0000000007","PUBLISHED",1971,"EMR","AFG","BTSX",297.2,297.18882,NA,NA,NA
"MDG_0000000007","PUBLISHED",1967,"EMR","AFG","MLE",326.3,326.29264,NA,NA,NA
"MDG_0000000007","PUBLISHED",1966,"EMR","AFG","MLE",331.7,331.69104,NA,NA,NA
"MDG_0000000007","PUBLISHED",2018,"AFR","AGO","FMLE",71.1,71.06926,NA,NA,NA
"MDG_0000000007","PUBLISHED",2007,"AFR","AGO","BTSX",147.7,147.73699,NA,NA,NA
"MDG_0000000007","PUBLISHED",2002,"AFR","AGO","MLE",203.2,203.15132,NA,NA,NA
"MDG_0000000007","PUBLISHED",1996,"AFR","AGO","FMLE",209.2,209.18947,NA,NA,NA
"MDG_0000000007","PUBLISHED",1990,"AFR","AGO","BTSX",223.4,223.40508,NA,NA,NA
"MDG_0000000007","PUBLISHED",1990,"AFR","AGO","FMLE",211.6,211.59456,NA,NA,NA
"MDG_0000000007","PUBLISHED",1980,"AFR","AGO","MLE",249.7,249.66623,NA,NA,NA
"MDG_0000000007","PUBLISHED",2013,"EUR","ALB","FMLE",9.9,9.85207,NA,NA,NA
"MDG_0000000007","PUBLISHED",2007,"EUR","ALB","BTSX",16.7,16.68039,NA,NA,NA
